ID,Código Requirement, Igualdade, Código Granted
[141112] :,FIM230 ( Física III - a ),=,FIW230 ( Eletromagnetismo e Ótica )
[141113] :,FIT112 ( Física I - a ),=,"FIW125 ( Mecânica, Oscilação e Ondas )"
[141114] :,ICP020 ( Engenharia de Software ),=,ICP533 ( Fund Engenharia de Software )
[141115] :,ICP020 ( Engenharia de Software ),=,MAB533 ( Fund da Engenharia de Software )
[141116] :,ICP131 ( Programação de Computadores I ) +ICP141 ( Programação de Computadores II ),=,ICP120 ( Computação I (CC) )
[141117] :,ICP131 ( Programação de Computadores I ) +ICP141 ( Programação de Computadores II ),=,MAB120 ( Computação I (CC) )
[141118] :,ICP131 ( Programação de Computadores I ) +ICP141 ( Programação de Computadores II ),=,CMT012 ( Introdução à Programação C/c++ ) +MAB121 ( Computação I )
[141119] :,ICP131 ( Programação de Computadores I ) +ICP141 ( Programação de Computadores II ),=,CMT012 ( Introdução à Programação C/c++ ) +ICP121 ( Computação I )
[141120] :,ICP132 ( Processos de Software ),=,ICP112 ( Sistemas de Informação )
[141121] :,ICP132 ( Processos de Software ),=,MAB112 ( Sistemas de Informação )
[141122] :,ICP133 ( Fund de Sistemas de Computação ),=,ICP111 ( Fund Computação Digital )
[141123] :,ICP133 ( Fund de Sistemas de Computação ),=,MAB111 ( Fund da Computação Digital )
[141124] :,ICP134 ( Números Inteiros Criptografia ),=,ICP624 ( Números Inteiros Criptografia )
[141125] :,ICP134 ( Números Inteiros Criptografia ),=,MAB624 ( Números Inteiros Criptografia )
[141126] :,ICP135 ( Projeto de Carreira ),=,ICP007 ( Projeto de Carreira )
[141127] :,ICP142 ( Organização de Dados I ),=,ICP113 ( Organização da Informação )
[141128] :,ICP142 ( Organização de Dados I ),=,MAB113 ( Organização da Informação )
[141129] :,ICP143 ( Projeto Prático ),=,ICP245 ( Circuitos Lógicos )
[141130] :,ICP143 ( Projeto Prático ),=,MAB245 ( Circuitos Lógicos )
[141131] :,ICP144 ( Matemática Discreta ),=,ICP352 ( Matemática Combinatória )
[141132] :,ICP144 ( Matemática Discreta ),=,MAB352 ( Matemática Combinatória )
[141133] :,ICP145 ( Habilidades Sociais p Trabalho ),=,ICP008 ( Habilidades Sociais Trabalho )
[141134] :,ICP237 ( Introd à Modelagem de Sistemas ),=,MAB535 ( Modelagem de Sistemas Inform I )
[141135] :,ICP237 ( Introd à Modelagem de Sistemas ),=,ICP535 ( Modelagem Sist Informação I )
[141136] :,ICP238 ( Introd à Computação Numérica ) +ICP248 ( Comput Científ e Análise Dados ),=,ICP230 ( Cálculo Numérico (CC) )
[141137] :,ICP238 ( Introd à Computação Numérica ) +ICP248 ( Comput Científ e Análise Dados ),=,MAB230 ( Cálculo Numérico (CC) )
[141138] :,ICP239 ( Programação Orientada a Objeto ),=,ICP240 ( Computação II (CC) )
[141139] :,ICP239 ( Programação Orientada a Objeto ),=,MAB240 ( Computação II (CC) )
[141140] :,ICP246 ( Arquitet Comput e Sist Operac ),=,ICP355 ( Arquitetura de Computadores I ) +ICP366 ( Sistemas Operacionais I )
[141141] :,ICP246 ( Arquitet Comput e Sist Operac ),=,MAB355 ( Arquitetura de Computadores I ) +MAB366 ( Sistemas Operacionais I )
[141142] :,ICP249 ( Tecnologia e Sociedade ),=,ICP354 ( Computadores e Sociedade )
[141143] :,ICP249 ( Tecnologia e Sociedade ),=,MAB354 ( Computadores e Sociedade )
[141144] :,ICP350 ( Modelagem e Aval de Desempenho ),=,ICP515 ( Avaliação e Desempenho )
[141145] :,ICP350 ( Modelagem e Aval de Desempenho ),=,MAB515 ( Avaliação e Desempenho )
[141146] :,ICP357 ( Data Warehousing e Intel Negóc ),=,ICP602 ( Dw no Sup à Tomada de Decisão )
[141147] :,ICP357 ( Data Warehousing e Intel Negóc ),=,MAB602 ( Dw no Sup à Tomada de Decisão )
[141148] :,ICP361 ( Programação Concorrente ),=,ICP117 ( Computação Concorrente )
[141149] :,ICP361 ( Programação Concorrente ),=,MAB117 ( Computação Concorrente )
[141150] :,ICP362 ( Redes de Computadores I ),=,ICP510 ( Teleprocessamento e Redes )
[141151] :,ICP362 ( Redes de Computadores I ),=,MAB510 ( Teleprocessamento e Redes )
[141152] :,ICP363 ( Introd Aprendizado de Máquina ),=,ICP004 ( Aprendizado de Máquina )
[141153] :,ICP363 ( Introd Aprendizado de Máquina ),=,MAB004 ( Aprendizado de Máquina )
[141154] :,ICP365 ( Otimização ),=,ICP232 ( Programação Linear I )
[141155] :,ICP365 ( Otimização ),=,MAB232 ( Programação Linear I )
[141156] :,ICP370 ( Lógica e Computabilidade ),=,ICP236 ( Lógica )
[141157] :,ICP370 ( Lógica e Computabilidade ),=,MAB236 ( Lógica )
[141158] :,ICPK01 ( Trab Conclusão de Curso Bcc ),=,ICPX02 ( Projeto Final de Curso )
[141159] :,ICPK01 ( Trab Conclusão de Curso Bcc ),=,MABX02 ( Projeto Final de Curso )
[141160] :,ICPX06 ( Atividades Complementares Bcc ),=,ICPX01 ( Atividades Complementares )
[141161] :,ICPX06 ( Atividades Complementares Bcc ),=,MABX01 ( Atividades Complementares )
[141162] :,MAE992 ( Cálculo Integ e Diferencial II ),=,MAE121 ( Cálculo Infinitesimal II )
[141163] :,MAE992 ( Cálculo Integ e Diferencial II ),=,MAC128 ( Cálculo Diferen e Integral II )
[141164] :,MAE993 ( Cálculo Int e Diferencial III ),=,MAE231 ( Calculo Infinitesimal III )
[141165] :,MAE993 ( Cálculo Int e Diferencial III ),=,MAC238 ( Cálculo Diferen e Integral III )
[141166] :,MAE994 ( Cálculo Int e Diferencial IV ),=,MAE241 ( Calculo Infinitesimal IV )
[141167] :,MAE994 ( Cálculo Int e Diferencial IV ),=,MAC248 ( Cálculo Diferen e Integral IV )
[141410] :,ICP359 ( Introd ao Suporte à Decisão ),=,ICP101 ( Introd Análise Suporte Decisão )
[141411] :,ICP359 ( Introd ao Suporte à Decisão ),=,MAB101 ( Introd Análise Suporte Decisão )
[141460] :,ICP246 ( Arquitet Comput e Sist Operac ),=,ICP366 ( Sistemas Operacionais I ) +MAB355 ( Arquitetura de Computadores I )
[141461] :,ICP246 ( Arquitet Comput e Sist Operac ),=,ICP355 ( Arquitetura de Computadores I ) +MAB366 ( Sistemas Operacionais I )
[141466] :,MAE111 ( Cálculo Infinitesimal I ),=,MAC118 ( Cálculo Difer e Integral I )
[143658] :,ICP131 ( Programação de Computadores I ),=,ICP037 ( Oficina Programação em C ) +ICP121 ( Computação I )
[145053] :,ICP131 ( Programação de Computadores I ),=,ICP037 ( Oficina Programação em C ) +ICP114 ( Computação I Ep )
[145054] :,ICP131 ( Programação de Computadores I ),=,ICP037 ( Oficina Programação em C ) +ICP124 ( Programação de Computadores I )
[145055] :,ICP131 ( Programação de Computadores I ),=,ICP037 ( Oficina Programação em C ) +MAW112 ( Introducao a Computacao )
[145057] :,ICP131 ( Programação de Computadores I ),=,ICP037 ( Oficina Programação em C ) +MAB121 ( Computação I )
[145058] :,ICP131 ( Programação de Computadores I ),=,ICP037 ( Oficina Programação em C ) +MAB114 ( Computação I Ep )
[145059] :,ICP131 ( Programação de Computadores I ),=,ICP037 ( Oficina Programação em C ) +MAB124 ( Programação de Computadores I )
[145276] :,FIT112 ( Física I - a ),=,FIT111 ( Física I )
[145277] :,FIM230 ( Física III - a ),=,FIW230 ( Eletromagnetismo e Ótica )
[145280] :,MAD243 ( Estatística e Probabilidade ),=,MAD201 ( Probabilidade e Estatistica )
